date,close
2014-01-02,1.077
2014-01-03,1.07
2014-01-06,1.04
2014-01-07,1.044
2014-01-08,1.045
2014-01-09,1.035
2014-01-10,1.015
2014-01-13,1.01
2014-01-14,1.028
2014-01-15,1.034
2014-01-16,1.04
2014-01-17,1.026
2014-01-20,1.019
2014-01-21,1.031
2014-01-22,1.062
2014-01-23,1.07
2014-01-24,1.087
2014-01-27,1.086
2014-01-28,1.084
2014-01-29,1.092
2014-01-30,1.086
2014-02-07,1.107
2014-02-10,1.139
2014-02-11,1.142
2014-02-12,1.154
2014-02-13,1.137
2014-02-14,1.156
2014-02-17,1.178
2014-02-18,1.175
2014-02-19,1.176
2014-02-20,1.159
2014-02-21,1.152
2014-02-24,1.147
2014-02-25,1.107
2014-02-26,1.113
2014-02-27,1.098
2014-02-28,1.11
2014-03-03,1.133
2014-03-04,1.132
2014-03-05,1.126
2014-03-06,1.125
2014-03-07,1.121
2014-03-10,1.079
2014-03-11,1.08
2014-03-12,1.08
2014-03-13,1.092
2014-03-14,1.085
2014-03-17,1.109
2014-03-18,1.115
2014-03-19,1.111
2014-03-20,1.083
2014-03-21,1.103
2014-03-24,1.113
2014-03-25,1.113
2014-03-26,1.117
2014-03-27,1.102
2014-03-28,1.078
2014-03-31,1.072
2014-04-01,1.089
2014-04-02,1.09
2014-04-03,1.088
2014-04-04,1.099
2014-04-08,1.112
2014-04-09,1.122
2014-04-10,1.127
2014-04-11,1.122
2014-04-14,1.131
2014-04-15,1.123
2014-04-16,1.122
2014-04-17,1.121
2014-04-18,1.126
2014-04-21,1.107
2014-04-22,1.101
2014-04-23,1.096
2014-04-24,1.085
2014-04-25,1.061
2014-04-28,1.029
2014-04-29,1.043
2014-04-30,1.051
2014-05-05,1.06
2014-05-06,1.064
2014-05-07,1.047
2014-05-08,1.048
2014-05-09,1.038
2014-05-12,1.065
2014-05-13,1.063
2014-05-14,1.06
2014-05-15,1.043
2014-05-16,1.041
2014-05-19,1.033
2014-05-20,1.038
2014-05-21,1.047
2014-05-22,1.047
2014-05-23,1.06
2014-05-26,1.071
2014-05-27,1.067
2014-05-28,1.08
2014-05-29,1.068
2014-05-30,1.071
2014-06-03,1.068
2014-06-04,1.06
2014-06-05,1.072
2014-06-06,1.069
2014-06-09,1.061
2014-06-10,1.075
2014-06-11,1.08
2014-06-12,1.078
2014-06-13,1.09
2014-06-16,1.095
2014-06-17,1.086
2014-06-18,1.081
2014-06-19,1.051
2014-06-20,1.061
2014-06-23,1.069
2014-06-24,1.076
2014-06-25,1.07
2014-06-26,1.084
2014-06-27,1.09
2014-06-30,1.101
2014-07-01,1.109
2014-07-02,1.117
2014-07-03,1.128
2014-07-04,1.125
2014-07-07,1.127
2014-07-08,1.135
2014-07-09,1.118
2014-07-10,1.117
2014-07-11,1.132
2014-07-14,1.148
2014-07-15,1.15
2014-07-16,1.141
2014-07-17,1.133
2014-07-18,1.135
2014-07-21,1.132
2014-07-22,1.148
2014-07-23,1.14
2014-07-24,1.139
2014-07-25,1.149
2014-07-28,1.169
2014-07-29,1.18
2014-07-30,1.182
2014-07-31,1.196
2014-08-01,1.185
2014-08-04,1.201
2014-08-05,1.206
2014-08-06,1.215
2014-08-07,1.204
2014-08-08,1.21
2014-08-11,1.229
2014-08-12,1.236
2014-08-13,1.236
2014-08-14,1.228
2014-08-15,1.243
2014-08-18,1.261
2014-08-19,1.264
2014-08-20,1.264
2014-08-21,1.262
2014-08-22,1.27
2014-08-25,1.26
2014-08-26,1.24
2014-08-27,1.241
2014-08-28,1.23
2014-08-29,1.245
2014-09-01,1.266
2014-09-02,1.286
2014-09-03,1.296
2014-09-04,1.305
2014-09-05,1.311
2014-09-09,1.321
2014-09-10,1.323
2014-09-11,1.321
2014-09-12,1.337
2014-09-15,1.349
2014-09-16,1.305
2014-09-17,1.316
2014-09-18,1.325
2014-09-19,1.337
2014-09-22,1.318
2014-09-23,1.336
2014-09-24,1.354
2014-09-25,1.352
2014-09-26,1.357
2014-09-29,1.372
2014-09-30,1.381
2014-10-08,1.405
2014-10-09,1.406
2014-10-10,1.399
2014-10-13,1.4
2014-10-14,1.394
2014-10-15,1.4
2014-10-16,1.379
2014-10-17,1.365
2014-10-20,1.384
2014-10-21,1.371
2014-10-22,1.354
2014-10-23,1.337
2014-10-24,1.341
2014-10-27,1.351
